"","x"
"DNAJC6",0.631482636428141
"LEPROT",0.361190575903511
"LEPR",0.476728186982933
"PDE4B",0.286460697675322
"SGIP1",0.51120331412306
"TCTEX1D1",0.532666198926764
"WDR78",0.635769843482297
"MIER1",0.27874260772387
"SLC35D1",0.433597387392303
"IL12RB2",0.425767436204377
"SERBP1",0.401308963307727
"GADD45A",0.305262623172619
"GNG12-AS1",0.782827472141433
"GNG12",0.393708637934631
"DIRAS3",0.533030740875028
"CTBP2P8",0.734770017343651
"WLS",0.403058715841408
"LRRC7",0.594193061820786
"LRRC40",0.512736545526725
"SRSF11",0.28098072513396
"ANKRD13C",0.499948631137827
"HHLA3",0.474965078117621
"CTH",0.50815951335929
"RP11-42O15.3",0.692810978210475
"PTGER3",0.697431877870672
"ZRANB2",0.434222224559783
"NEGR1",0.384994449749584
"FPGT",0.547245926963248
"TNNI3K",0.648213529000146
"RP11-17E13.2",0.590429988710305
"CRYZ",0.32860079291533
"TYW3",0.655471784438032
"SLC44A5",0.624905963243108
"ACADM",0.13100799425574
"RP4-682C21.2",0.546794306892304
"RABGGTB",0.366614124010947
"MSH4",0.665659810875487
"ST6GALNAC3",0.383586110895149
"TPI1P1",0.454853083943973
"RP4-706A16.3",0.962006801605333
"PIGK",0.490563333959007
"ZZZ3",0.293150159756262
"USP33",0.201795298987747
"MIGA1",0.194710669089169
"RP11-181C21.4",0.790567642127527
"NEXN-AS1",0.733387169396273
"NEXN",0.640963919888925
"FUBP1",0.244035518800469
"DNAJB4",0.548414871055215
"RP11-386I14.4",0.680645340755626
"GIPC2",0.536108556893517
"PTGFR",0.362931789540844
"IFI44L",0.471701970278387
"IFI44",0.449296505551499
"ADGRL4",0.499776672961197
"ADGRL2",0.415646525160982
"TTLL7",0.471923392892664
"RP11-486G15.2",0.317488179878781
"PRKACB",0.527764583947862
"SAMD13",0.414741595852541
"UOX",0.464873823925621
"DNASE2B",0.418747383959801
"RPF1",0.263025464347508
"GNG5",0.378260720265154
"SPATA1",0.972266402700076
"CTBS",0.737398955756888
"SSX2IP",0.277655568099966
"MCOLN2",0.734708874438535
"MCOLN3",0.599764263778735
"RP11-33E12.2",0.595814912029548
"SYDE2",0.657072090149413
"C1orf52",0.512877513818688
"BCL10",0.538425155995765
"DDAH1",0.416311799657077
"CYR61",0.49023845141455
"ZNHIT6",0.417626013212437
"ODF2L",0.493128613094549
"RP4-612B15.3",0.406143576496421
"SH3GLB1",0.352837407831752
"SEP15",0.409731812990033
"HS2ST1",0.39169011926041
"LINC01140",0.476637706611946
"LMO4",0.680188778920216
"PKN2",0.198029757972326
"TCEB1P19",0.665059386721644
"GTF2B",0.442034243677923
"KYAT3",0.492486664349678
"RBMXL1",0.645238194800807
"GBP3",0.507363305924996
"GBP1",0.391474523413187
"PTGES3P1",0.554994604431223
"GBP2",0.457327845817659
"GBP4",0.614277686604656
"GBP5",0.573204068238332
"GBP6",0.681084673310499
"GBP1P1",0.733911683364972
"LRRC8B",0.379283533861877
"FLJ27354",0.792550722257671
"LRRC8C",0.499665222945872
"RP5-943J3.2",0.608741319328141
"LRRC8D",0.567367668324178
"GEMIN8P4",0.394018400582495
